cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
2423,Cnpy1,0.58308506,6.7413983,29526.176,5.907892,156.06097,202.50114,217.59903,0.12602535
2424,Cnpy1,2.6344733,5.517335,30069.07,5.845544,158.92255,202.34134,217.51396,0.12602535
2425,Cnpy1,1.5937868,8.300183,29677.215,7.6843505,156.85541,202.4718,217.59361,0.12602535
2426,Cnpy1,68.009995,150.67268,37157.633,157.75803,196.13672,202.50896,218.05525,0.12602535
2427,Cnpy1,3.9566238,4.868735,30415.191,5.9217963,160.74687,202.24156,217.46146,0.12602535
2428,Cnpy1,5.89396,9.42285,30625.914,10.635082,161.85318,202.22116,217.47758,0.12602535
2429,Cnpy1,12.710579,21.899714,31580.504,24.250813,166.87233,202.08145,217.47432,0.12602535
2430,Cnpy1,4.4881,7.1433973,30417.145,8.072076,160.75516,202.2594,217.48322,0.12602535
2431,Cnpy1,2.858241,5.9111195,30100.28,6.279455,159.08665,202.33597,217.51357,0.12602535
2432,Cnpy1,10.138501,19.142189,31105.486,20.744461,164.37155,202.1712,217.50848,0.12602535
2433,Cnpy1,37.920757,59.85487,35325.133,67.733635,186.56711,201.63344,217.37415,0.12602535
2434,Cnpy1,10.480028,24.520876,30890.682,25.401281,163.23486,202.27426,217.58865,0.12602535
2435,Cnpy1,5.573183,36.38404,29105.385,33.017765,153.81754,202.86179,217.94298,0.12602535
2436,Cnpy1,7.0931344,44.57566,29001.342,40.57436,153.26175,202.9594,218.03894,0.12602535
2437,Cnpy1,6.2580028,41.342396,28988.854,37.481335,153.19896,202.9358,218.00842,0.12602535
2438,Cnpy1,6.407721,38.710285,29170.559,35.35291,154.1588,202.86345,217.95695,0.12602535
2439,Cnpy1,4.407659,24.703892,29455.37,22.712034,155.67192,202.66597,217.78229,0.12602535
2440,Cnpy1,7.639808,2.2585146,31437.596,5.4587626,166.13661,201.9449,217.30127,0.12602535
2441,Cnpy1,1.665337,1.7824137,30043.285,2.2696936,158.79001,202.31824,217.4813,0.12602535
2442,Cnpy1,1.3322697,2.245751,29940.48,2.5011215,158.24792,202.35022,217.49956,0.12602535
2443,Cnpy1,0.7463588,3.9214406,29714.273,3.627444,157.05455,202.42618,217.54626,0.12602535
2444,Cnpy1,0.724407,4.959117,29653.797,4.4844913,156.73499,202.45131,217.5645,0.12602535
2445,Cnpy1,0.0,5.655462,29449.264,4.7269783,155.65671,202.51375,217.599,0.12602535
2446,Cnpy1,0.0,5.1022615,29478.629,4.2646356,155.81192,202.5011,217.58966,0.12602535
2447,Cnpy1,1.4390033,4.476474,29845.701,4.4157977,157.74655,202.39436,217.5339,0.12602535
2448,Cnpy1,1.4854228,4.7872496,29839.867,4.6973104,157.71553,202.39848,217.53767,0.12602535
2449,Cnpy1,0.69091195,4.334869,29679.332,3.947031,156.87009,202.4392,217.55498,0.12602535
2450,Cnpy1,1.046548,4.6140094,29747.014,4.3469524,157.22644,202.42273,217.54854,0.12602535
2451,Cnpy1,1.2791141,3.501872,29860.68,3.5262558,157.82632,202.38235,217.52245,0.12602535
2452,Cnpy1,1.4390033,2.2902987,29963.021,2.5883272,158.36665,202.3444,217.49698,0.12602535
2453,Cnpy1,0.0,1.1545758,29688.807,0.9650899,156.92284,202.41087,217.52301,0.12602535
2454,Cnpy1,1.5330545,1.6164693,30021.252,2.0690553,158.67407,202.32292,217.48262,0.12602535
2455,Cnpy1,2.6838336,1.9073142,30275.654,2.850637,160.01427,202.25563,217.45142,0.12602535
2456,Cnpy1,1.4589618,2.3365881,29965.195,2.6363661,158.37807,202.34418,217.49712,0.12602535
2457,Cnpy1,0.66959,3.8725965,29699.059,3.5506542,156.97443,202.43001,217.54785,0.12602535
2458,Cnpy1,0.99004656,4.910943,29718.02,4.568678,157.07341,202.43315,217.55533,0.12602535
2459,Cnpy1,0.37772802,5.1321993,29564.275,4.4667025,156.26315,202.47754,217.57826,0.12602535
