cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
91,gene_A,0.66278684,4.311107,4.776706,5.5154605,1.606922,3.250254,3.3458543,0.062166654,91,0,4.311107223287492,1.0130670898138407
92,gene_A,0.6538538,4.444756,4.7242627,5.6250024,1.5897526,3.2521322,3.3474438,0.062166654,92,0,4.444756004096661,0.8148774793158324
93,gene_A,0.83778477,4.4854927,5.336027,6.048269,1.7696226,3.2445948,3.339222,0.062166654,93,0,4.485492505592145,0.8913112667696932
94,gene_A,0.9771845,4.441273,5.806634,6.296222,1.9084764,3.239035,3.3328767,0.062166654,94,0,4.441273280871874,1.0405455312928784
95,gene_A,0.6569974,3.5926752,4.8561063,4.814322,1.6378434,3.243462,3.3404455,0.062166654,95,1,3.5926752361498275,0.8322390626229035
96,gene_A,0.7153986,3.2680254,5.0853257,4.624799,1.7079026,3.238202,3.3354876,0.062166654,96,1,3.2680254729217424,0.5696373138322423
97,gene_A,1.059356,3.5014658,6.171959,5.564533,2.0228035,3.2291687,3.3242185,0.062166654,97,1,3.5014655745304366,0.5320533194928825
98,gene_A,1.0402747,3.468773,6.1132627,5.4934864,2.0059216,3.2294285,3.3246324,0.062166654,98,1,3.4687728442781967,0.42220019132485986
99,gene_A,1.2720153,4.056369,6.724962,6.538536,2.1732805,3.2269592,3.3205812,0.062166654,99,0,4.056368856338636,0.5230851094241403
100,gene_A,1.1737397,4.4359775,6.4255238,6.7002487,2.0876265,3.2334979,3.3263276,0.062166654,100,0,4.43597766548613,0.5675143311185084
101,gene_A,0.8441038,4.8344893,5.313428,6.396437,1.7596487,3.2475228,3.3415456,0.062166654,101,0,4.8344892989059325,0.5702617378591363
102,gene_A,0.8783555,4.267085,5.4995666,5.923138,1.8198773,3.2410011,3.3357208,0.062166654,102,0,4.267085169557665,0.6797101565612044
103,gene_A,0.8723508,4.9913683,5.387594,6.605989,1.7799419,3.2478354,3.3414233,0.062166654,103,0,4.991368415384754,0.7799878581899101
104,gene_A,0.9751796,5.6730123,5.6476235,7.475121,1.8501449,3.249977,3.3417501,0.062166654,104,0,5.673012145589872,1.0608594472086594
105,gene_A,1.1459193,4.7672143,6.3093014,6.9608173,2.0517206,3.236992,3.3293498,0.062166654,105,0,4.767214493690672,1.0754781461412943
106,gene_A,1.0976379,5.22481,6.1097317,7.2999754,1.9901466,3.242054,3.3338382,0.062166654,106,0,5.224810085337974,0.5280223794672473
107,gene_A,1.0310998,5.0798564,5.910165,7.0219264,1.9331433,3.2427163,3.3351324,0.062166654,107,0,5.0798562148985065,0.33022529319144645
108,gene_A,1.2757429,4.7168856,6.6795564,7.1817174,2.1556354,3.2323217,3.3246224,0.062166654,108,0,4.7168857734159335,0.3650159568517108
109,gene_A,1.5007244,5.127186,7.233817,8.041366,2.3032582,3.2277997,3.3197527,0.062166654,109,0,5.127185970108494,0.3751205004893938
110,gene_A,1.4341154,5.1890683,7.06586,7.9635043,2.258195,3.2306094,3.3221695,0.062166654,110,0,5.189068438998585,0.39870501108969536
