gene_name,epoch,loss
Ostm1,29,0.03350266
Ostm1,39,0.037382044
Ostm1,49,0.032829426
Ostm1,59,0.026146108
Ostm1,69,0.0272114
Ostm1,79,0.02966344
Ostm1,89,0.02635192
Pappa,9,0.060884807
Pappa,19,0.05999164
Pappa,29,0.054602526
Pappa,39,0.058018062
Pappa,49,0.06546686
Pappa,59,0.066707954
Pax3,9,0.08670162
Pax3,19,0.08257649
Pax3,29,0.097944304
Pax3,39,0.096894294
Pax3,49,0.09194567
Pax5,9,0.10771199
Pax5,19,0.09696573
Pax5,29,0.103860386
Pax5,39,0.10745253
Pax5,49,0.08713493
Pax5,59,0.10900985
Pax5,69,0.12042253
Pax5,79,0.093053795
Pax6,9,0.11242775
Pax6,19,0.09737658
Pax6,29,0.09796483
Pax6,39,0.099776484
Pax6,49,0.10261304
Pax7,9,0.07312136
Pax7,19,0.07608585
Pax7,29,0.07558755
Pax7,39,0.06571451
Pax7,49,0.05806671
Pax7,59,0.06697148
Pax7,69,0.08176551
Pax7,79,0.076325916
Pax8,9,0.11709539
Pax8,19,0.122049704
Pax8,29,0.11541696
Pax8,39,0.14546844
Pax8,49,0.12672594
Pax8,59,0.13203934
Phox2b,9,0.12802652
Phox2b,19,0.11928601
Phox2b,29,0.09931823
Phox2b,39,0.109369956
Phox2b,49,0.12869713
Phox2b,59,0.11568029
Ptch1,9,0.07128297
Ptch1,19,0.063295625
Ptch1,29,0.06561717
Ptch1,39,0.0676163
Ptch1,49,0.06430738
Ptprz1,9,0.10168203
Ptprz1,19,0.095311396
Ptprz1,29,0.075288236
Ptprz1,39,0.0967011
Ptprz1,49,0.1113314
Ptprz1,59,0.09663322
Ptx3,9,0.06716538
Ptx3,19,0.07939465
Ptx3,29,0.07677987
Ptx3,39,0.06400847
Ptx3,49,0.05564921
Ptx3,59,0.06678029
Ptx3,69,0.06348264
Ptx3,79,0.078399256
Rax,9,0.15131441
Rax,19,0.094408095
Rax,29,0.09206242
Rax,39,0.081185274
Rax,49,0.084107235
Rax,59,0.08166329
Rax,69,0.07339035
Rax,79,0.0717103
Rax,89,0.07391883
Rax,99,0.07142394
Rax,109,0.07359573
Rax,119,0.07267665
Rax,129,0.1415697
Ror1,9,0.07871427
Ror1,19,0.097892255
Ror1,29,0.07016924
Ror1,39,0.07929307
Ror1,49,0.073721625
Ror1,59,0.09958383
Rspo1,9,0.0998216
Rspo1,19,0.067357115
Rspo1,29,0.07250613
Rspo1,39,0.06586172
Rspo1,49,0.07419546
Rspo1,59,0.07625656
Rspo1,69,0.06679142
Rspo2,9,0.13238697
Rspo2,19,0.14031392
Rspo2,29,0.14293069
Rspo2,39,0.14473341
Rspo3,9,0.10530795
Rspo3,19,0.09750705
Rspo3,29,0.092313685
